Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
BTCBitcoin,BTC,"$441.83B$441,826,392,275","$22,910.30","19,285,056 BTC","$26,319,875,010",-0.49%,-0.41%,-0.89%
ETHEthereum,ETH,"$201.66B$201,659,762,830","$1,647.90","122,373,866 ETH *","$8,276,259,542",-0.61%,0.27%,4.11%
USDTTether,USDT,"$68.19B$68,189,819,635",$1.00,"68,182,382,219 USDT *","$41,491,139,777",0.00%,0.00%,0.00%
BNBBNB,BNB,"$51.57B$51,571,300,626",$326.61,"157,899,777 BNB *","$538,404,383",-0.75%,-0.64%,5.73%
USDCUSD Coin,USDC,"$41.50B$41,496,472,371",$1.00,"41,495,030,717 USDC *","$3,828,029,493",-0.01%,-0.02%,0.00%
XRPXRP,XRP,"$20.16B$20,157,838,394",$0.3968,"50,799,084,881 XRP *","$912,595,611",-0.47%,-0.14%,-1.60%
BUSDBinance USD,BUSD,"$16.18B$16,180,194,795",$1.00,"16,176,805,370 BUSD *","$10,304,349,755",0.00%,-0.01%,0.00%
ADACardano,ADA,"$13.56B$13,559,789,782",$0.3918,"34,609,653,532 ADA *","$389,024,051",-0.61%,0.77%,2.99%
DOGEDogecoin,DOGE,"$11.92B$11,924,716,264",$0.08988,"132,670,764,300 DOGE","$498,990,362",-0.63%,-0.95%,-0.04%
MATICPolygon,MATIC,"$11.39B$11,394,259,955",$1.30,"8,734,317,475 MATIC *","$913,491,538",-1.48%,6.15%,18.88%
SOLSolana,SOL,"$8.64B$8,638,412,374",$23.13,"373,475,461 SOL *","$622,267,065",-0.84%,0.39%,-0.67%
DOTPolkadot,DOT,"$7.77B$7,772,450,044",$6.73,"1,155,220,419 DOT *","$276,485,155",-0.97%,0.21%,9.04%
SHIBShiba Inu,SHIB,"$7.54B$7,542,936,515",$0.00001374,"549,063,278,876,302 SHIB *","$408,867,205",-0.85%,-1.83%,18.66%
LTCLitecoin,LTC,"$7.15B$7,152,939,706",$99.02,"72,236,016 LTC","$660,051,611",-0.33%,-0.26%,3.76%
AVAXAvalanche,AVAX,"$6.29B$6,293,294,856",$19.97,"315,108,947 AVAX *","$318,894,936",-1.05%,-0.40%,3.68%
TRXTRON,TRX,"$6.09B$6,086,096,416",$0.06636,"91,719,120,353 TRX *","$616,599,218",-0.76%,1.74%,6.88%
DAIDai,DAI,"$5.80B$5,800,038,428",$0.9995,"5,802,935,317 DAI *","$166,649,057",-0.04%,-0.10%,-0.09%
UNIUniswap,UNI,"$5.12B$5,124,854,155",$6.72,"762,209,327 UNI *","$149,418,844",-0.79%,-0.79%,4.01%
ATOMCosmos,ATOM,"$4.29B$4,288,793,083",$14.98,"286,370,297 ATOM *","$280,340,919",-1.67%,3.67%,4.69%
WBTCWrapped Bitcoin,WBTC,"$4.04B$4,037,681,642","$22,880.02","176,472 WBTC *","$102,974,944",-0.52%,-0.38%,-0.87%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
